ref_id	score_sim_lemm	
0	3	
1	1	
2	4	
3	0	
4	0	
5	5	
6	0	
7	3	
8	3	
9	0	
10	2	
11	2	
12	2	
13	1	
14	1	
15	4	
16	0	
17	2	
18	0	
19	2	
20	1	
21	2	
22	1	
23	0	
24	0	
25	0	
26	1	
27	2	
28	0	
29	0	
30	0	
31	0	
32	2	
33	0	
34	3	
35	3	
36	0	
37	3	
38	0	
39	1	
40	2	
41	1	
42	0	
43	1	
44	1	
45	3	
46	0	
47	1	
48	4	
49	0	
50	2	
51	0	
52	2	
53	3	
54	0	
55	3	
56	4	
57	1	
58	2	
59	0	
60	1	
61	2	
62	2	
63	0	
64	0	
65	0	
66	3	
67	0	
68	3	
69	5	
70	3	
71	7	
72	3	
73	1	
74	1	
75	2	
76	3	
77	5	
78	1	
79	0	
80	0	
81	2	
82	3	
83	2	
84	2	
85	0	
86	0	
87	0	
88	0	
89	2	
90	2	
91	6	
92	3	
93	0	
94	2	
95	1	
96	1	
97	0	
98	4	
99	1	
100	0	
101	1	
102	1	
103	0	
104	0	
105	1	
106	0	
107	2	
108	0	
109	0	
110	0	
111	2	
112	0	
113	1	
114	5	
115	2	
116	0	
117	1	
118	1	
119	0	
120	0	
121	1	
122	0	
123	0	
124	5	
125	0	
126	2	
127	1	
128	0	
129	1	
130	0	
131	4	
132	2	
133	2	
134	0	
135	3	
136	0	
137	3	
138	1	
139	2	
140	5	
141	1	
142	4	
143	0	
144	1	
145	1	
146	0	
147	3	
148	0	
149	0	
150	1	
151	0	
152	0	
153	0	
154	2	
155	0	
156	4	
157	1	
158	2	
159	0	
160	4	
161	0	
162	2	
163	0	
164	2	
165	3	
166	0	
167	4	
168	0	
169	0	
170	2	
171	2	
172	5	
173	1	
174	2	
175	2	
176	1	
177	1	
178	0	
179	1	
180	4	
181	1	
182	4	
183	0	
184	2	
185	0	
186	2	
187	0	
188	0	
189	1	
190	2	
191	2	
192	0	
193	0	
194	1	
195	0	
196	1	
197	2	
198	0	
199	0	
200	0	
201	2	
202	2	
203	0	
204	4	
205	0	
206	0	
207	4	
208	2	
209	0	
210	0	
211	0	
212	1	
213	3	
214	1	
215	0	
