ref_id	voisins_m	voisins_f	
0	['absent_ADJ', 'perdant_NOM', 'favori_NOM', 'vainqueur_NOM', 'absents_ADJ', 'absents_NOM', 'gagnant_NOM', 'argentier_NOM', 'absente_NOM', 'représenté_VER']	['absente_ADJ', 'perdante_NOM', 'ravivée_VER', 'habituée_ADJ', 'absent_ADJ', 'championne_NOM', 'auréolée_VER', 'admiratrice_NOM', 'favorite_NOM', 'californienne_NOM']	
1	['musicien_NOM', 'guitariste_NOM', 'accompagnateurs_NOM', 'chauffeur_NOM', 'arrangeur_NOM', 'accordéoniste_NOM', 'pianiste_NOM', 'batteur_NOM', 'ami_NOM', 'interprète_NOM']	['jouannest_NAM', 'attitrée_VER', 'elisapie_NOM', 'boky_NAM', 'écrivaine_ADJ', 'yaroshevskaya_NAM', 'comédienne_NOM', 'choriste_NOM', 'chanteuse_NOM', 'interprète_NOM']	
2	['comédien_NOM', 'actrice_NOM', 'interprète_NOM', 'réalisateur_NOM', 'scénariste_NOM', 'personnage_NOM', 'cinéaste_NOM', 'humoriste_NOM', 'écrivain_NOM', 'musicien_NOM']	['comédienne_NOM', 'interprète_NOM', 'acteur_NOM', 'cotillard_NAM', 'chanteuse_NOM', 'réalisatrice_NOM', 'écrivaine_NOM', 'meryl_NAM', 'swinton_NAM', 'croze_NAM']	
3	['syndic_NOM', 'cip_NAM', 'technicien_NOM', 'cirp_NAM', 'cirp_NOM', 'ingénieur_NOM', 'clrp_NOM', 'roland-therrien_NAM', 'consultant_VER', 'secrétaire-trésorier_NOM']	['directrice_NOM', 'consultante_NOM', 'présidente_NOM', 'éditrice_NOM', 'vice-présidente_NOM', 'directrice_ADJ', 'résidente_NOM', 'gérante_NOM', 'représentante_NOM', 'professeure_ADJ']	
4	['disciple_NOM', 'fervent_ADJ', 'ami_NOM', 'inspirateur_NOM', 'raconteur_NOM', 'inconditionnel_NOM', 'rusé_ADJ', 'écrivain_NOM', 'éminent_ADJ', 'émule_NOM']	['amie_NOM', 'confidente_NOM', 'idole_NOM', 'actrice_NOM', 'icône_NOM', 'fervente_ADJ', 'institutrice_NOM', 'starlette_NOM', 'aïeule_NOM', 'écrivaine_NOM']	
5	['garçon_NOM', 'adolescente_NOM', 'enfant_NOM', 'adolescent_ADJ', 'adulte_NOM', 'policier_NOM', 'fillette_NOM', 'étudiant_NOM', 'jeune_ADJ', 'gamin_NOM']	['fillette_NOM', 'adolescent_NOM', 'fille_NOM', 'adolescente_ADJ', 'garçon_NOM', 'amie_NOM', 'prostituée_NOM', 'jeune_ADJ', 'mère_NOM', 'femme_NOM']	
6	['écrivain_NOM', 'idiome_NOM', 'arabe_NOM', 'innu_NOM', 'kabyle_ADJ', 'indien_ADJ', 'chao_INT', 'africain_ADJ', 'métissé_VER', 'obscur_ADJ']	['métisse_ADJ', 'rouquine_NOM', 'esseulée_ADJ', 'ingénue_ADJ', 'vieillie_VER', 'écolière_NOM', 'aïeule_NOM', 'afrobeat_ADJ', 'travestie_VER', 'afro-américaine_ADJ']	
7	['allemand_ADJ', 'italien_NOM', 'espagnol_ADJ', 'roumain_NOM', 'autrichien_NOM', 'italien_ADJ', 'américain_NOM', 'espagnol_NOM', 'autrichien_ADJ', 'australien_NOM']	['allemande_ADJ', 'américaine_NOM', 'italienne_ADJ', 'concurrente_NOM', 'hilde_NAM', 'slave_ADJ', 'swinton_NAM', 'suédoise_ADJ', 'hollandaise_ADJ', 'héritière_NOM']	
8	['amante_NOM', 'amoureuse_NOM', 'compagnon_NOM', 'mari_NOM', 'amour_NOM', 'amoureuse_ADJ', 'volage_ADJ', 'amie_NOM', 'ami_NOM', 'fiancé_NOM']	['amant_NOM', 'amoureuse_NOM', 'amie_ADJ', 'divorcée_NOM', 'voyageuse_ADJ', 'passionnée_VER', 'amoureuse_ADJ', 'sensuelle_ADJ', 'passionnee_NOM', 'rouquine_ADJ']	
9	['amateurs_NOM', 'connaisseur_NOM', 'collectionneur_NOM', 'passionné_VER', 'féru_ADJ', 'musicien_NOM', 'adepte_NOM', 'néophyte_NOM', 'doué_VER', 'sport_NOM']	['férue_ADJ', 'cherehe_NOM', '47-55_NUM', 'raffinee_NOM', '35-48_NUM', '28-35_NUM', 'épicurienne_NOM', '35-46_NUM', 'distinguée_ADJ', '44-50_NUM']	
