ref_id	score_sim_stemm	
0	3	
1	1	
2	3	
3	4	
4	1	
5	3	
6	5	
7	0	
8	3	
9	3	
10	5	
11	4	
12	1	
13	2	
14	3	
15	2	
16	3	
17	2	
18	2	
19	5	
20	0	
21	1	
22	0	
23	2	
24	3	
25	1	
26	3	
27	4	
28	1	
29	0	
30	1	
31	0	
32	1	
33	1	
34	0	
35	1	
36	2	
37	3	
38	0	
39	0	
40	0	
41	0	
42	4	
43	0	
44	0	
45	3	
46	3	
47	0	
48	0	
49	3	
50	0	
51	0	
52	1	
53	1	
54	2	
55	2	
56	0	
57	2	
58	1	
59	3	
60	0	
61	1	
62	5	
63	1	
64	4	
65	0	
66	2	
67	0	
68	2	
69	2	
70	4	
71	0	
72	4	
73	4	
74	4	
75	1	
76	3	
77	1	
78	2	
79	2	
80	3	
81	3	
82	0	
83	1	
84	1	
85	2	
86	2	
87	0	
88	3	
89	0	
90	0	
91	4	
92	8	
93	0	
94	0	
95	10	
96	0	
97	6	
98	4	
99	5	
100	1	
101	2	
102	3	
103	4	
104	0	
105	2	
106	1	
107	0	
108	2	
109	4	
110	3	
111	4	
112	3	
113	4	
114	0	
115	3	
116	3	
117	4	
118	0	
119	6	
120	3	
121	1	
122	5	
123	0	
124	4	
125	2	
126	0	
127	1	
128	0	
129	2	
130	0	
131	1	
132	1	
133	5	
134	3	
135	0	
136	0	
137	0	
138	0	
139	0	
140	0	
141	0	
142	2	
143	2	
144	6	
145	0	
146	2	
147	5	
148	0	
149	0	
150	0	
151	1	
152	0	
153	1	
154	3	
155	2	
156	1	
157	1	
158	4	
159	0	
160	2	
161	1	
162	3	
163	2	
164	0	
165	1	
166	2	
167	0	
168	0	
169	1	
170	0	
171	2	
172	0	
173	3	
174	1	
175	0	
176	0	
177	3	
178	1	
179	4	
180	0	
181	4	
182	1	
183	0	
184	2	
185	0	
186	0	
187	0	
188	1	
189	0	
190	0	
191	0	
192	0	
193	6	
194	1	
195	1	
196	2	
197	1	
198	0	
199	0	
200	0	
201	0	
202	3	
203	0	
204	2	
205	2	
206	0	
207	3	
208	0	
209	2	
210	1	
211	1	
212	5	
213	5	
214	0	
215	6	
216	0	
217	3	
218	0	
219	1	
220	2	
221	1	
222	3	
223	0	
224	0	
225	1	
226	0	
227	0	
228	0	
229	0	
230	2	
231	1	
232	0	
233	4	
234	1	
235	2	
236	0	
237	5	
238	0	
239	2	
240	1	
241	0	
242	1	
243	3	
244	1	
245	4	
246	0	
247	4	
248	1	
249	2	
250	0	
251	0	
252	3	
253	0	
254	1	
255	3	
256	2	
257	2	
258	2	
259	1	
260	2	
261	1	
262	4	
263	1	
264	4	
265	4	
266	1	
267	0	
268	0	
269	4	
270	4	
271	3	
272	2	
273	0	
274	0	
275	2	
276	4	
277	0	
278	2	
279	4	
280	0	
281	1	
282	0	
283	1	
284	0	
285	0	
286	1	
287	2	
288	2	
289	0	
290	0	
291	0	
292	5	
293	0	
294	1	
295	0	
296	1	
297	0	
298	2	
299	1	
300	0	
301	0	
302	0	
303	4	
304	3	
305	0	
306	4	
307	0	
308	1	
309	0	
310	2	
311	5	
312	2	
313	0	
314	0	
315	1	
316	1	
317	4	
318	1	
319	0	
